order_id,order_date,sales_rep_id,eligible_revenue,commission_rate,commission_paid,note
ORD10483,2008-05-06,S001,1282.48,0.07,89.77,
ORD10484,2008-05-07,S003,550.0,0.065,0,online attribution
ORD10485,2008-05-07,S005,885.04,0.06,53.1,
ORD10486,2008-05-07,S002,220.0,0.07,0,DMI credit hold
ORD10487,2008-05-07,S003,131.92,0.065,0,DMI credit hold
ORD10488,2008-05-08,S004,1531.8,0.065,0,online attribution
ORD10489,2008-05-08,S005,1274.9,0.06,0,online attribution
ORD10490,2008-05-08,S005,407.0,0.06,0,online attribution
ORD10491,2008-05-08,S003,364.0,0.065,23.66,
ORD10492,2008-05-09,S003,1370.85,0.065,0,online attribution
ORD10493,2008-05-09,S002,2090.0,0.07,0,Web sale - no rep credit
ORD10494,2008-05-09,S005,1402.5,0.06,0,Web sale - no rep credit
ORD10495,2008-05-09,S002,702.76,0.07,0,DMI credit hold
ORD10496,2008-05-12,S002,679.25,0.07,0,Web sale - no rep credit
ORD10497,2008-05-12,S004,976.0,0.065,0,online attribution
ORD10498,2008-05-12,S003,807.5,0.065,0,DMI credit hold
ORD10499,2008-05-12,S004,1430.0,0.065,0,DMI credit hold
ORD10500,2008-05-13,S001,977.5,0.07,0,online attribution
ORD10501,2008-05-13,S002,1162.35,0.07,0,online attribution
ORD10502,2008-05-13,S002,1185.75,0.07,83.0,
ORD10503,2008-05-13,S004,740.0,0.065,0,Web sale - no rep credit
ORD10504,2008-05-13,S002,1742.5,0.07,0,Web sale - no rep credit
ORD10505,2008-05-14,S003,1122.0,0.065,0,online attribution
ORD10506,2008-05-14,S003,1816.88,0.065,0,DMI credit hold
ORD10507,2008-05-14,S005,1831.5,0.06,0,Web sale - no rep credit
ORD10510,2008-05-15,S005,1375.0,0.06,82.5,
ORD10511,2008-05-15,S003,982.8,0.065,0,Web sale - no rep credit
ORD10512,2008-05-15,S001,1110.0,0.07,0,DMI credit hold
