dmi_record_id,original_order_id,record_date,customer_id,recorded_revenue,entry_method,record_status,source_system
DMI-XORD10501,ORD10501,2008-05-13,C006,1162.35,TEMP PROCEDURE,Completed,DMI
DMI-XORD10421,ORD10421,2008-04-04,C028,1465.2,Manual Re-Entry,Completed,DMI
DMI-XORD10454,ORD10454,2008-04-21,C004,2080.65,Sales Rep Re-entry,Completed,DMI
DMI-XORD10459,ORD10459,2008-04-24,C013,1332.0,Sales Rep Re-entry,Completed,DMI
DMI-XORD10477,ORD10477,2008-05-01,C022,1220.26,TEMP PROCEDURE,Completed,DMI
DMI-XORD10437,ORD10437,2008-04-14,C024,1071.0,Manual Re-Entry,Completed,DMI
DMI-XORD10445,ORD10445,2008-04-17,C022,1008.0,sales rep reentry,Completed,DMI
DMI-XORD10452,ORD10452,2008-04-21,C026,625.6,sales rep reentry,Completed,DMI
DMI-XORD10495,ORD10495,2008-05-09,C022,702.76,Manual Re-Entry,Completed,DMI
DMI-XORD10439,ORD10439,2008-04-15,C002,448.96,sales rep reentry,Completed,DMI
DMI-XORD10446,ORD10446,2008-04-17,C016,1098.9,Sales Rep Re-entry,Completed,DMI
DMI-XORD10500,ORD10500,2008-05-13,C017,977.5,TEMP PROCEDURE,Completed,DMI
DMI-XORD10487,ORD10487,2008-05-07,C018,131.92,sales rep reentry,Completed,DMI
DMI-XORD10504,ORD10504,2008-05-13,C013,1742.5,sales rep reentry,Completed,DMI
DMI-XORD10424,ORD10424,2008-04-04,C015,96.9,TEMP PROCEDURE,Completed,DMI
DMI-XORD10505,ORD10505,2008-05-14,C028,1122.0,sales rep reentry,Completed,DMI
DMI-XORD10451,ORD10451,2008-04-21,C008,204.0,TEMP PROCEDURE,Completed,DMI
DMI-XORD10474,ORD10474,2008-04-30,C002,1033.6,Sales Rep Re-entry,Completed,DMI
DMI-XORD10478,ORD10478,2008-05-01,C001,2788.0,Manual Re-Entry,Completed,DMI
DMI-XORD10503,ORD10503,2008-05-13,C021,740.0,Sales Rep Re-entry,Completed,DMI
DMI-XORD10506,ORD10506,2008-05-14,C028,1816.88,TEMP PROCEDURE,Completed,DMI
DMI-XORD10496,ORD10496,2008-05-12,C028,679.25,TEMP PROCEDURE,Completed,DMI
DMI-XORD10486,ORD10486,2008-05-07,C029,220.0,TEMP PROCEDURE,Completed,DMI
DMI-XORD10463,ORD10463,2008-04-24,C013,408.0,sales rep reentry,Completed,DMI
DMI-XORD10426,ORD10426,2008-04-07,C009,467.5,Sales Rep Re-entry,Completed,DMI
DMI-XORD10431,ORD10431,2008-04-11,C023,1952.0,sales rep reentry,Completed,DMI
DMI-XORD10498,ORD10498,2008-05-12,C013,807.5,sales rep reentry,Completed,DMI
DMI-XORD10507,ORD10507,2008-05-14,C016,1831.5,TEMP PROCEDURE,Completed,DMI
DMI-XORD10489,ORD10489,2008-05-08,C022,1274.9,sales rep reentry,Completed,DMI
DMI-XORD10436,ORD10436,2008-04-14,C025,714.0,sales rep reentry,Completed,DMI
DMI-XORD10420,ORD10420,2008-04-03,C012,1107.68,Manual Re-Entry,Completed,DMI
DMI-XORD10409,ORD10409,2008-04-01,C011,168.0,sales rep reentry,Completed,DMI
DMI-XORD10413,ORD10413,2008-04-02,C002,1265.4,sales rep reentry,Completed,DMI
DMI-XORD10466,ORD10466,2008-04-25,C023,1952.0,Sales Rep Re-entry,Completed,DMI
DMI-XORD10448,ORD10448,2008-04-17,C014,617.32,Sales Rep Re-entry,Completed,DMI
DMI-XORD10450,ORD10450,2008-04-21,C003,329.8,TEMP PROCEDURE,Completed,DMI
DMI-XORD10412,ORD10412,2008-04-01,C030,695.52,sales rep reentry,Completed,DMI
DMI-XORD10490,ORD10490,2008-05-08,C005,407.0,Sales Rep Re-entry,Completed,DMI
DMI-XORD10511,ORD10511,2008-05-15,C024,982.8,TEMP PROCEDURE,Completed,DMI
DMI-XORD10469,ORD10469,2008-04-28,C024,680.0,TEMP PROCEDURE,Completed,DMI
DMI-XORD10476,ORD10476,2008-05-01,C030,2519.4,TEMP PROCEDURE,Completed,DMI
DMI-XORD10512,ORD10512,2008-05-15,C024,1110.0,Sales Rep Re-entry,Completed,DMI
DMI-XORD10465,ORD10465,2008-04-25,C016,370.0,TEMP PROCEDURE,Completed,DMI
DMI-XORD10493,ORD10493,2008-05-09,C018,2090.0,Sales Rep Re-entry,Completed,DMI
DMI-XORD10441,ORD10441,2008-04-16,C024,190.12,Sales Rep Re-entry,Completed,DMI
DMI-XORD10428,ORD10428,2008-04-09,C021,2013.0,TEMP PROCEDURE,Completed,DMI
DMI-XORD10429,ORD10429,2008-04-09,C030,650.25,TEMP PROCEDURE,Completed,DMI
DMI-XORD10434,ORD10434,2008-04-14,C029,2562.0,sales rep reentry,Completed,DMI
DMI-XORD10470,ORD10470,2008-04-28,C016,956.25,Manual Re-Entry,Completed,DMI
DMI-XORD10467,ORD10467,2008-04-28,C023,956.25,Manual Re-Entry,Completed,DMI
DMI-XORD10438,ORD10438,2008-04-15,C008,263.84,Manual Re-Entry,Completed,DMI
DMI-XORD10492,ORD10492,2008-05-09,C005,1370.85,TEMP PROCEDURE,Completed,DMI
DMI-XORD10418,ORD10418,2008-04-03,C005,1258.0,sales rep reentry,Completed,DMI
DMI-XORD10410,ORD10410,2008-04-01,C011,1591.0,Manual Re-Entry,Completed,DMI
DMI-XORD10422,ORD10422,2008-04-04,C002,1768.0,TEMP PROCEDURE,Completed,DMI
DMI-XORD10433,ORD10433,2008-04-14,C018,346.5,Sales Rep Re-entry,Completed,DMI
DMI-XORD10411,ORD10411,2008-04-01,C010,297.0,TEMP PROCEDURE,Completed,DMI
DMI-XORD10482,ORD10482,2008-05-05,C014,1265.0,TEMP PROCEDURE,Completed,DMI
DMI-XORD10417,ORD10417,2008-04-02,C002,1054.5,TEMP PROCEDURE,Completed,DMI
DMI-XORD10488,ORD10488,2008-05-08,C017,1531.8,TEMP PROCEDURE,Completed,DMI
DMI-XORD10497,ORD10497,2008-05-12,C009,976.0,Sales Rep Re-entry,Completed,DMI
DMI-XORD10494,ORD10494,2008-05-09,C028,1402.5,sales rep reentry,Completed,DMI
DMI-XORD10462,ORD10462,2008-04-24,C026,748.88,Sales Rep Re-entry,Completed,DMI
DMI-XORD10460,ORD10460,2008-04-24,C030,469.2,sales rep reentry,Completed,DMI
DMI-XORD10484,ORD10484,2008-05-07,C010,550.0,Sales Rep Re-entry,Completed,DMI
DMI-XORD10425,ORD10425,2008-04-07,C018,907.2,sales rep reentry,Completed,DMI
DMI-XORD10449,ORD10449,2008-04-18,C007,2035.0,sales rep reentry,Completed,DMI
DMI-XORD10442,ORD10442,2008-04-16,C018,1592.1,TEMP PROCEDURE,Completed,DMI
DMI-XORD10458,ORD10458,2008-04-23,C024,666.0,Manual Re-Entry,Completed,DMI
DMI-XORD10472,ORD10472,2008-04-29,C023,370.0,Sales Rep Re-entry,Completed,DMI
DMI-XORD10439,ORD10439,2008-04-15,C002,448.96,sales rep reentry,Completed,DMI
DMI-XORD10448,ORD10448,2008-04-17,C014,617.32,Sales Rep Re-entry,Completed,DMI
DMI-WEB10711,WEB10711,2008-03-15,C002,488.0,Online Checkout,Completed,DMI
DMI-WEB10708,WEB10708,2008-03-14,C002,1066.24,Online Checkout,Completed,DMI
